                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.52048,                0.42668,                 1.0025,                0.94308,                0.92459,                0.96689,                0.86699,                0.49983,                0.40692,                 0.9667,             0.00023334,             0.00023334,             0.00023334
                     36,                0.51799,                0.43674,                0.99736,                0.90236,                0.96002,                 0.9675,                0.86447,                0.51202,                0.40684,                0.98312,              0.0002192,              0.0002192,              0.0002192
                     37,                0.50717,                0.42555,                 1.0078,                0.89929,                0.95591,                0.96563,                0.85307,                0.51553,                0.42106,                 0.9876,             0.00020506,             0.00020506,             0.00020506
                     38,                0.51305,                0.40659,                0.99236,                0.91384,                0.93665,                0.96602,                0.84997,                0.53433,                0.41898,                  1.003,             0.00019092,             0.00019092,             0.00019092
                     39,                0.52109,                0.42239,                 1.0037,                0.91476,                 0.9408,                 0.9701,                  0.864,                0.50944,                0.41492,                0.97837,             0.00017679,             0.00017679,             0.00017679
                     40,                0.50038,                 0.4131,                0.98822,                0.92206,                0.91314,                0.96975,                0.86116,                0.50892,                0.41258,                0.98485,             0.00016265,             0.00016265,             0.00016265
                     41,                0.40239,                0.29951,                0.92382,                0.93069,                0.93684,                0.97606,                0.86473,                0.51291,                 0.3824,                0.98744,             0.00014851,             0.00014851,             0.00014851
                     42,                0.39216,                0.26838,                0.90306,                0.92281,                0.90892,                0.96484,                0.85405,                 0.5195,                0.45312,                0.99222,             0.00013437,             0.00013437,             0.00013437
                     43,                0.39252,                0.27202,                0.90442,                0.92961,                0.95343,                 0.9767,                0.86426,                0.52384,                0.39259,                0.99945,             0.00012024,             0.00012024,             0.00012024
                     44,                0.38845,                0.26001,                0.90004,                0.92329,                0.96113,                0.97758,                0.87068,                0.50346,                 0.3908,                0.96723,              0.0001061,              0.0001061,              0.0001061
                     45,                0.38536,                0.25717,                0.89767,                0.93393,                0.94189,                0.97212,                0.86576,                0.50273,                0.39966,                0.98132,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.36069,                0.23673,                0.88215,                0.93279,                0.96928,                 0.9722,                0.86804,                0.49602,                0.39851,                 0.9782,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.36335,                0.23883,                0.88737,                0.94933,                0.95587,                0.97471,                0.87456,                0.49047,                0.38001,                0.97149,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.34795,                0.21912,                0.87743,                0.94042,                0.93836,                0.97328,                0.87098,                 0.4881,                 0.3768,                0.96726,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.34815,                0.22051,                0.87366,                0.93636,                0.93836,                 0.9714,                0.87115,                 0.4818,                0.37746,                0.96754,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.33564,                 0.2113,                0.86628,                0.92228,                0.95037,                0.97072,                0.87202,                0.48135,                 0.3805,                0.96763,             2.1277e-05,             2.1277e-05,             2.1277e-05
