                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97875,                 1.1791,                 1.5212,                0.76117,                0.77555,                0.87006,                0.69753,                0.81311,                 1.0671,                 1.4248,             0.00054048,             0.00054048,             0.00054048
                     36,                0.98656,                 1.2251,                 1.5304,                0.80016,                0.83668,                0.89115,                0.70989,                0.79852,                 0.9182,                 1.4059,             0.00053084,             0.00053084,             0.00053084
                     37,                0.95014,                 1.1661,                 1.4965,                0.84451,                0.76069,                0.87929,                 0.6829,                0.86642,                 1.0044,                 1.4595,             0.00052102,             0.00052102,             0.00052102
                     38,                0.97191,                 1.1666,                 1.4986,                0.79993,                0.84351,                0.88372,                   0.68,                0.86141,                0.97126,                 1.4496,             0.00051105,             0.00051105,             0.00051105
                     39,                0.93864,                 1.1343,                 1.4734,                0.83523,                0.78542,                0.89233,                0.70898,                0.78825,                0.91427,                 1.3987,             0.00050093,             0.00050093,             0.00050093
                     40,                0.93489,                 1.1008,                 1.4726,                0.79342,                0.84712,                0.88763,                0.71572,                0.78996,                0.92652,                 1.3596,             0.00049068,             0.00049068,             0.00049068
                     41,                0.93131,                  1.115,                 1.4739,                0.85164,                0.76106,                 0.8836,                0.71219,                0.80164,                0.93021,                 1.3822,             0.00048029,             0.00048029,             0.00048029
                     42,                0.91823,                  1.098,                 1.4589,                0.84503,                0.85902,                0.90565,                0.72504,                0.78706,                0.87055,                 1.3733,             0.00046979,             0.00046979,             0.00046979
                     43,                0.92311,                 1.0964,                 1.4603,                0.74612,                0.80192,                0.84334,                0.67812,                 0.7848,                 1.0521,                 1.3704,             0.00045917,             0.00045917,             0.00045917
                     44,                0.89957,                 1.0712,                 1.4428,                 0.8164,                0.83103,                0.90845,                0.73812,                0.74347,                0.83849,                  1.325,             0.00044846,             0.00044846,             0.00044846
                     45,                0.90261,                 1.0393,                 1.4402,                0.77833,                0.86599,                0.88328,                0.71347,                0.78299,                0.93201,                 1.3659,             0.00043767,             0.00043767,             0.00043767
                     46,                0.89666,                 1.0184,                 1.4305,                0.85308,                0.83763,                0.90859,                0.73026,                0.77082,                0.82586,                 1.3486,              0.0004268,              0.0004268,              0.0004268
                     47,                0.88364,                  1.027,                 1.4268,                 0.8786,                0.81034,                0.91114,                0.74326,                0.74943,                0.82261,                 1.3268,             0.00041586,             0.00041586,             0.00041586
                     48,                 0.8933,                 1.0283,                 1.4288,                0.85115,                0.82689,                0.89953,                0.73073,                0.74857,                0.87066,                 1.3327,             0.00040487,             0.00040487,             0.00040487
                     49,                 0.8767,                 1.0066,                 1.4099,                0.84845,                0.85247,                0.91582,                0.73938,                0.77337,                 0.8551,                 1.3476,             0.00039383,             0.00039383,             0.00039383
                     50,                0.86489,                 1.0004,                 1.4001,                0.83287,                0.84414,                0.92347,                  0.749,                0.73667,                0.80887,                 1.3024,             0.00038276,             0.00038276,             0.00038276
                     51,                0.85312,                 0.9634,                 1.4074,                0.82618,                 0.8581,                0.91752,                0.75459,                0.72986,                0.79377,                 1.3135,             0.00037167,             0.00037167,             0.00037167
                     52,                0.83842,                0.95996,                 1.3801,                0.84388,                0.83864,                0.91513,                0.73536,                0.77842,                0.83279,                  1.366,             0.00036057,             0.00036057,             0.00036057
                     53,                0.85999,                0.97727,                 1.4147,                0.83405,                0.86156,                0.92464,                0.75542,                0.72785,                0.79796,                 1.3116,             0.00034947,             0.00034947,             0.00034947
                     54,                0.83717,                0.97014,                 1.3736,                0.85135,                0.85693,                0.91804,                0.74789,                0.74668,                0.80332,                 1.3115,             0.00033838,             0.00033838,             0.00033838
                     55,                0.81143,                0.93647,                 1.3526,                0.82806,                0.85345,                0.91552,                0.75777,                0.69037,                0.78927,                 1.2757,             0.00032731,             0.00032731,             0.00032731
                     56,                0.82541,                0.91095,                 1.3691,                0.85656,                0.88241,                0.93642,                0.77332,                0.70917,                0.77005,                  1.273,             0.00031627,             0.00031627,             0.00031627
                     57,                0.81371,                0.90879,                 1.3495,                0.84463,                 0.8858,                0.93152,                0.75889,                0.73834,                0.76022,                 1.3144,             0.00030528,             0.00030528,             0.00030528
                     58,                0.81182,                0.89646,                  1.362,                0.88778,                0.88528,                0.94092,                0.77547,                0.69846,                0.72959,                 1.2728,             0.00029434,             0.00029434,             0.00029434
                     59,                0.79853,                0.87034,                 1.3375,                0.85141,                 0.9123,                0.93454,                 0.7691,                0.71355,                0.70983,                 1.2941,             0.00028347,             0.00028347,             0.00028347
                     60,                0.78919,                0.89168,                 1.3528,                0.87797,                0.87601,                0.94018,                0.78382,                0.68647,                0.70184,                 1.2541,             0.00027268,             0.00027268,             0.00027268
                     61,                0.78586,                0.85801,                 1.3231,                0.91648,                0.83985,                0.93673,                0.77585,                0.68994,                0.72054,                  1.256,             0.00026197,             0.00026197,             0.00026197
                     62,                0.78422,                0.88427,                 1.3314,                0.88655,                0.90515,                0.95428,                0.79375,                0.69162,                  0.676,                 1.2556,             0.00025135,             0.00025135,             0.00025135
                     63,                0.81168,                0.88666,                 1.3664,                0.86708,                0.90631,                0.94224,                0.77925,                0.68815,                0.67275,                 1.2563,             0.00024085,             0.00024085,             0.00024085
                     64,                0.78642,                0.85309,                 1.3235,                0.88352,                0.85111,                0.93436,                0.77667,                 0.7153,                0.71498,                 1.2834,             0.00023046,             0.00023046,             0.00023046
                     65,                0.73294,                0.79337,                 1.2865,                0.88262,                 0.8781,                0.93241,                0.77945,                0.71344,                0.73259,                 1.2628,             0.00022021,             0.00022021,             0.00022021
                     66,                0.77753,                0.84266,                 1.3137,                0.89947,                0.89442,                 0.9481,                0.79887,                0.66961,                0.66444,                 1.2354,             0.00021009,             0.00021009,             0.00021009
                     67,                0.76431,                 0.8225,                 1.3135,                0.92685,                0.88652,                0.95053,                 0.7869,                0.68266,                0.68665,                 1.2537,             0.00020012,             0.00020012,             0.00020012
                     68,                0.76057,                0.79457,                 1.2996,                0.89092,                0.88633,                0.95112,                0.78711,                 0.6795,                0.66103,                 1.2463,              0.0001903,              0.0001903,              0.0001903
                     69,                0.76724,                0.81448,                 1.2992,                0.90661,                0.86071,                0.94218,                0.78578,                 0.6745,                0.65862,                 1.2427,             0.00018066,             0.00018066,             0.00018066
                     70,                0.77017,                0.79984,                 1.3191,                0.91489,                0.85618,                0.94213,                0.78952,                0.67161,                0.63885,                 1.2348,             0.00017119,             0.00017119,             0.00017119
                     71,                0.75382,                 0.7929,                 1.2997,                0.86495,                 0.9264,                0.95045,                0.80401,                0.65132,                0.63729,                 1.2172,             0.00016191,             0.00016191,             0.00016191
                     72,                0.75657,                0.78353,                 1.3058,                 0.9154,                0.89441,                0.95281,                0.78687,                0.70017,                0.63633,                 1.2526,             0.00015283,             0.00015283,             0.00015283
                     73,                0.74476,                0.77558,                 1.2901,                0.87972,                0.91192,                0.95065,                0.79448,                0.65426,                0.63529,                 1.2184,             0.00014395,             0.00014395,             0.00014395
                     74,                0.71568,                 0.7428,                 1.2742,                0.92332,                0.88304,                0.95041,                0.78832,                 0.6821,                0.62724,                 1.2404,             0.00013529,             0.00013529,             0.00013529
                     75,                0.74591,                0.76943,                 1.2873,                0.89979,                0.89744,                0.95452,                0.79825,                0.68113,                0.62165,                 1.2444,             0.00012684,             0.00012684,             0.00012684
                     76,                0.74432,                0.78157,                  1.293,                0.89818,                0.91894,                0.95537,                0.80169,                0.67003,                 0.6219,                 1.2385,             0.00011863,             0.00011863,             0.00011863
                     77,                0.73344,                0.75426,                 1.2827,                  0.902,                0.88782,                0.95469,                0.80396,                0.66467,                0.62589,                 1.2221,             0.00011066,             0.00011066,             0.00011066
                     78,                0.71409,                0.76763,                 1.2628,                0.90704,                0.91959,                0.95545,                0.80239,                0.65149,                0.61364,                 1.2134,             0.00010293,             0.00010293,             0.00010293
                     79,                0.73229,                0.78415,                 1.2768,                0.91797,                0.88082,                0.95347,                0.80729,                0.66265,                0.62157,                 1.2208,             9.5458e-05,             9.5458e-05,             9.5458e-05
                     80,                0.70689,                 0.7199,                 1.2565,                0.86703,                 0.9464,                0.95402,                0.80332,                 0.6418,                0.60804,                 1.2102,             8.8248e-05,             8.8248e-05,             8.8248e-05
                     81,                0.70303,                0.73469,                 1.2455,                0.89764,                0.91336,                0.95741,                 0.8111,                0.64665,                0.58622,                 1.2096,             8.1306e-05,             8.1306e-05,             8.1306e-05
                     82,                0.70269,                0.72097,                 1.2588,                 0.9275,                0.91862,                0.96169,                0.81348,                0.65382,                 0.5839,                 1.2168,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     83,                0.71059,                0.72178,                  1.256,                0.91549,                 0.9147,                0.95902,                0.80809,                0.64066,                0.58074,                 1.2063,             6.8255e-05,             6.8255e-05,             6.8255e-05
                     84,                0.70826,                0.72656,                 1.2576,                0.92018,                0.89178,                0.95465,                0.81374,                0.64743,                0.60574,                 1.2157,             6.2159e-05,             6.2159e-05,             6.2159e-05
                     85,                0.70332,                0.73388,                 1.2651,                0.91913,                0.91787,                0.95936,                 0.8126,                 0.6428,                0.58349,                 1.2067,             5.6358e-05,             5.6358e-05,             5.6358e-05
                     86,                0.68933,                0.71617,                 1.2509,                0.90002,                0.92082,                0.95769,                 0.8089,                0.63757,                0.58409,                 1.2005,             5.0857e-05,             5.0857e-05,             5.0857e-05
                     87,                0.70526,                0.72544,                 1.2609,                0.92151,                0.91127,                0.96234,                0.81452,                 0.6412,                0.58499,                 1.2013,             4.5662e-05,             4.5662e-05,             4.5662e-05
                     88,                0.70271,                 0.7206,                  1.244,                0.90491,                0.91846,                 0.9612,                0.81233,                0.64541,                0.57748,                 1.2083,             4.0777e-05,             4.0777e-05,             4.0777e-05
                     89,                0.69566,                0.69937,                 1.2501,                0.92958,                0.90093,                0.96308,                0.81549,                 0.6369,                 0.5737,                 1.1985,             3.6208e-05,             3.6208e-05,             3.6208e-05
                     90,                0.68042,                0.70533,                 1.2424,                0.93101,                0.89799,                0.96173,                0.81884,                0.63487,                0.57164,                 1.1954,             3.1959e-05,             3.1959e-05,             3.1959e-05
                     91,                0.55911,                0.57623,                 1.1426,                0.89483,                0.93155,                0.96114,                0.81461,                0.63929,                0.59048,                 1.1995,             2.8035e-05,             2.8035e-05,             2.8035e-05
                     92,                0.55021,                0.55007,                 1.1468,                0.93223,                0.91001,                0.96144,                0.81483,                0.64088,                0.57676,                  1.203,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     93,                0.55158,                0.52669,                 1.1338,                0.93161,                0.91022,                 0.9623,                0.81759,                0.63925,                0.57103,                 1.2051,             2.1173e-05,             2.1173e-05,             2.1173e-05
                     94,                0.53766,                0.51269,                  1.121,                0.92883,                0.91185,                0.96227,                0.82024,                0.63427,                0.56773,                 1.2005,             1.8244e-05,             1.8244e-05,             1.8244e-05
                     95,                0.52722,                0.50577,                 1.1045,                0.90942,                0.94074,                0.96121,                0.82003,                0.63536,                0.56444,                 1.1992,             1.5652e-05,             1.5652e-05,             1.5652e-05
                     96,                0.54622,                0.51463,                 1.1355,                0.90545,                0.94245,                0.96206,                0.81842,                0.63751,                0.56624,                 1.2006,               1.34e-05,               1.34e-05,               1.34e-05
                     97,                0.52823,                0.49653,                 1.1266,                0.90918,                0.92715,                0.96099,                0.81883,                0.63544,                0.56716,                 1.1984,             1.1491e-05,             1.1491e-05,             1.1491e-05
                     98,                0.52961,                0.49024,                 1.1158,                0.92078,                0.91789,                0.96243,                0.82397,                0.63293,                0.56359,                 1.1953,             9.9269e-06,             9.9269e-06,             9.9269e-06
                     99,                 0.5302,                0.50188,                 1.1268,                0.91273,                0.92588,                0.96202,                0.82022,                0.63527,                0.56342,                 1.1964,             8.7085e-06,             8.7085e-06,             8.7085e-06
                    100,                0.53785,                0.51101,                 1.1234,                0.90576,                0.93398,                0.96178,                0.81651,                0.63547,                0.56398,                 1.1949,             7.8374e-06,             7.8374e-06,             7.8374e-06
