                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.4776,                0.38321,                0.95164,                0.93124,                0.96423,                0.97735,                0.87733,                0.49456,                0.38181,                0.95237,              0.0002192,              0.0002192,              0.0002192
                     37,                0.47895,                0.39686,                 0.9642,                 0.9256,                0.96615,                0.97433,                0.87609,                0.50167,                0.37295,                0.95683,             0.00020506,             0.00020506,             0.00020506
                     38,                0.48121,                0.37171,                0.95927,                0.92511,                0.95107,                0.97262,                0.87209,                0.50561,                0.40534,                0.95418,             0.00019092,             0.00019092,             0.00019092
                     39,                 0.4762,                0.38087,                0.95838,                0.94425,                0.94253,                0.97801,                0.88633,                0.48682,                0.37989,                0.92389,             0.00017679,             0.00017679,             0.00017679
                     40,                0.46927,                 0.3667,                0.94944,                 0.9432,                0.93643,                0.98005,                0.88999,                0.49406,                0.37082,                0.94467,             0.00016265,             0.00016265,             0.00016265
                     41,                0.37804,                0.26484,                0.87647,                0.94471,                 0.9285,                 0.9768,                0.87603,                 0.5006,                0.39313,                0.95395,             0.00014851,             0.00014851,             0.00014851
                     42,                0.36976,                 0.2508,                0.86786,                0.94632,                0.95842,                0.98291,                0.88286,                0.50125,                0.36918,                0.95455,             0.00013437,             0.00013437,             0.00013437
                     43,                0.35966,                0.24419,                0.85893,                 0.9483,                0.92371,                0.97971,                0.87972,                0.51411,                0.38141,                0.95383,             0.00012024,             0.00012024,             0.00012024
                     44,                0.35664,                0.23204,                0.84772,                0.94384,                0.93971,                0.97733,                0.88418,                 0.4927,                0.38865,                0.94386,              0.0001061,              0.0001061,              0.0001061
                     45,                0.35391,                0.23247,                0.85673,                0.94565,                0.95599,                0.97824,                 0.8825,                0.48485,                 0.3772,                0.93513,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                 0.3388,                0.21741,                0.84794,                0.94671,                 0.9573,                0.98367,                0.89081,                0.48051,                0.36473,                0.93238,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.34106,                0.22298,                 0.8569,                 0.9437,                0.94845,                0.98308,                0.89178,                0.47699,                0.36868,                0.92865,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.32542,                0.20474,                0.85041,                0.93982,                0.95662,                0.98026,                0.88762,                0.46963,                0.36651,                0.92361,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                   0.32,                0.20179,                0.83789,                 0.9441,                0.94986,                0.98207,                0.89282,                0.46012,                0.36013,                0.92171,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.31053,                0.19411,                0.83801,                0.95794,                0.94611,                0.98271,                0.89691,                0.46107,                0.35024,                0.92362,             2.1277e-05,             2.1277e-05,             2.1277e-05
