                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.47505,                0.36555,                 0.9055,                0.93723,                0.94768,                0.98106,                0.88236,                 0.4945,                0.38337,                0.87637,              0.0002192,              0.0002192,              0.0002192
                     37,                0.46742,                0.36423,                0.91404,                0.93848,                0.94468,                0.97221,                0.86618,                0.51588,                0.40744,                 0.8885,             0.00020506,             0.00020506,             0.00020506
                     38,                0.47141,                0.35886,                0.90584,                0.95214,                0.93663,                0.97874,                0.87878,                0.49281,                 0.3605,                 0.8805,             0.00019092,             0.00019092,             0.00019092
                     39,                 0.4769,                 0.3553,                0.91356,                  0.948,                0.95612,                0.97984,                0.88023,                 0.4934,                0.35856,                0.87502,             0.00017679,             0.00017679,             0.00017679
                     40,                0.46001,                0.35555,                0.90117,                 0.9455,                0.96018,                0.97176,                0.87001,                0.49397,                 0.3795,                0.88191,             0.00016265,             0.00016265,             0.00016265
                     41,                0.37813,                0.25167,                0.83325,                0.95339,                0.95731,                0.97852,                0.87581,                0.49884,                0.35896,                0.88387,             0.00014851,             0.00014851,             0.00014851
                     42,                0.37543,                0.23567,                0.82562,                0.95514,                0.95359,                0.97898,                0.87849,                0.49076,                0.36049,                0.87326,             0.00013437,             0.00013437,             0.00013437
                     43,                0.35714,                0.22636,                0.81618,                 0.9551,                0.96259,                0.98243,                0.87766,                 0.5109,                0.35038,                0.88689,             0.00012024,             0.00012024,             0.00012024
                     44,                0.37181,                0.22648,                0.82091,                0.93278,                0.97458,                0.98356,                0.88437,                0.49014,                0.33851,                0.87587,              0.0001061,              0.0001061,              0.0001061
                     45,                0.35988,                 0.2309,                0.81379,                0.94093,                0.96202,                0.98266,                0.88838,                0.48676,                0.35236,                0.87571,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.33947,                0.21558,                0.82051,                0.95182,                0.95154,                0.98199,                0.88501,                0.48596,                0.34966,                0.87093,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.33992,                0.21495,                0.82641,                0.95019,                0.94967,                0.98039,                0.89145,                0.47815,                0.34969,                 0.8704,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.33001,                0.20272,                0.81733,                0.95646,                0.94061,                0.98232,                0.89313,                0.47818,                0.35096,                0.86887,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.32327,                0.20075,                0.81834,                0.95208,                0.94839,                0.98133,                0.89163,                0.47539,                0.35138,                0.86915,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.31287,                0.19491,                 0.8074,                0.95421,                 0.9487,                0.98171,                 0.8935,                0.46998,                0.34261,                0.86728,             2.1277e-05,             2.1277e-05,             2.1277e-05
